	userId	Reputation	Views	UpVotes	DownVotes	postId	Score	ViewCount	CommentCount	Outlier
594	30	2185	312	40	3	6320	3	248	5	Reputation
595	30	2185	312	40	3	6421	29	1806	5	Reputation
597	30	2185	312	40	3	7293	4	150	1	Reputation
599	30	2185	312	40	3	7364	4	97	7	Reputation
600	30	2185	312	40	3	7860	21	1926	1	Reputation
601	30	2185	312	40	3	8526	4	247	0	Reputation
602	30	2185	312	40	3	10478	7	638	3	Reputation
603	30	2185	312	40	3	10806	7	380	3	Reputation
604	30	2185	312	40	3	11537	2	182	0	Reputation
605	30	2185	312	40	3	11872	12	1210	0	Reputation
606	30	2185	312	40	3	12281	9	268	10	Reputation
609	30	2185	312	40	3	15394	6	127	4	Reputation
610	30	2185	312	40	3	15480	2	438	4	Reputation
612	30	2185	312	40	3	21850	5	718	4	Reputation
636	36	1570	173	26	1	7225	12	2983	8	Reputation
637	36	1570	173	26	1	7357	16	2435	0	Reputation
638	36	1570	173	26	1	8044	13	482	8	Reputation
639	36	1570	173	26	1	10744	8	2966	2	Reputation
640	36	1570	173	26	1	13869	6	2119	0	Reputation
641	36	1570	173	26	1	14002	42	14706	0	Reputation
643	36	1570	173	26	1	17283	1	272	0	Reputation
644	36	1570	173	26	1	21071	7	161	0	Reputation
645	36	1570	173	26	1	31726	12	7912	1	Reputation
652	39	1651	255	12	0	113	9	413	5	Reputation
657	39	1651	255	12	0	558	11	339	0	Reputation
746	61	1956	147	39	4	93	5	412	3	Reputation
798	71	1936	328	2317	1	173	15	2519	0	Reputation
802	71	1936	328	2317	1	1378	8	219	2	Reputation
804	71	1936	328	2317	1	2272	71	24738	2	Reputation
809	71	1936	328	2317	1	3064	9	345	4	Reputation
811	71	1936	328	2317	1	3855	5	357	0	Reputation
812	71	1936	328	2317	1	4394	9	7407	3	Reputation
821	71	1936	328	2317	1	9596	2	284	0	Reputation
857	74	2316	1126	74	65	165	56	22890	3	Reputation
864	74	2316	1126	74	65	363	52	5188	2	Reputation
869	74	2316	1126	74	65	641	4	1286	2	Reputation
875	74	2316	1126	74	65	1023	7	692	1	Reputation
878	74	2316	1126	74	65	1525	11	13526	3	Reputation
883	74	2316	1126	74	65	2125	26	36345	3	Reputation
888	74	2316	1126	74	65	2358	9	8826	0	Reputation
889	74	2316	1126	74	65	2499	18	4758	4	Reputation
894	74	2316	1126	74	65	4734	3	2648	5	Reputation
895	74	2316	1126	74	65	4735	8	1256	0	Reputation
913	74	2316	1126	74	65	10251	10	1265	10	Reputation
915	74	2316	1126	74	65	11678	6	188	0	Reputation
990	88	14082	3320	4235	126	341	2	435	0	Reputation
1006	88	14082	3320	4235	126	526	7	466	0	Reputation
1012	88	14082	3320	4235	126	602	3	247	2	Reputation
1016	88	14082	3320	4235	126	631	22	4341	0	Reputation
1061	88	14082	3320	4235	126	2179	17	2486	0	Reputation
1074	88	14082	3320	4235	126	2455	10	2740	0	Reputation
1114	88	14082	3320	4235	126	4211	15	1230	0	Reputation
1145	88	14082	3320	4235	126	6298	22	3093	4	Reputation
1182	88	14082	3320	4235	126	10501	2	1356	0	Reputation
1197	88	14082	3320	4235	126	12763	10	649	1	Reputation
1261	88	14082	3320	4235	126	29717	4	316	0	Reputation
1292	89	1281	105	61	4	411	31	3293	8	Reputation
1293	89	1281	105	61	4	414	20	5291	0	Reputation
1456	144	1396	269	477	1	146	12	4419	3	Reputation
1458	144	1396	269	477	1	612	12	3981	4	Reputation
1461	144	1396	269	477	1	1081	3	556	2	Reputation
1462	144	1396	269	477	1	1352	10	864	0	Reputation
1464	144	1396	269	477	1	1764	17	1101	6	Reputation
1465	144	1396	269	477	1	2591	7	2988	1	Reputation
1469	144	1396	269	477	1	5128	7	282	0	Reputation
1472	144	1396	269	477	1	6350	18	16285	5	Reputation
1477	144	1396	269	477	1	10058	6	536	2	Reputation
1478	144	1396	269	477	1	14741	1	120	1	Reputation
1479	144	1396	269	477	1	15239	2	330	2	Reputation
1480	144	1396	269	477	1	15322	4	575	1	Reputation
1484	144	1396	269	477	1	20758	2	92	1	Reputation
1490	144	1396	269	477	1	31358	5	360	1	Reputation
1491	144	1396	269	477	1	32188	4	714	1	Reputation
1513	159	18283	3781	1014	59	181	50	39097	0	Reputation
1515	159	18283	3781	1014	59	213	51	9772	3	Reputation
1523	159	18283	3781	1014	59	534	44	11149	6	Reputation
1527	159	18283	3781	1014	59	622	15	3833	0	Reputation
1549	159	18283	3781	1014	59	1444	66	28878	5	Reputation
1583	159	18283	3781	1014	59	3752	12	366	6	Reputation
1622	159	18283	3781	1014	59	13530	8	226	6	Reputation
1772	179	1416	147	352	10	3331	25	3894	6	Reputation
1776	179	1416	147	352	10	4101	9	1264	0	Reputation
1777	179	1416	147	352	10	7521	2	135	1	Reputation
1778	179	1416	147	352	10	8107	5	7537	0	Reputation
1779	179	1416	147	352	10	8750	3	2056	0	Reputation
1780	179	1416	147	352	10	10386	4	279	4	Reputation
1781	179	1416	147	352	10	13686	42	4982	2	Reputation
1782	179	1416	147	352	10	14671	3	265	6	Reputation
1783	179	1416	147	352	10	15635	5	1371	0	Reputation
1784	179	1416	147	352	10	15784	6	323	8	Reputation
1785	179	1416	147	352	10	16516	10	4454	1	Reputation
1786	179	1416	147	352	10	16528	1	1540	5	Reputation
1787	179	1416	147	352	10	16930	1	1204	1	Reputation
1788	179	1416	147	352	10	18105	3	439	0	Reputation
1790	179	1416	147	352	10	18745	6	635	9	Reputation
1791	179	1416	147	352	10	24559	3	313	3	Reputation
1792	179	1416	147	352	10	24613	3	522	4	Reputation
1793	179	1416	147	352	10	27428	2	156	5	Reputation
1794	179	1416	147	352	10	27429	6	1071	5	Reputation
1797	179	1416	147	352	10	28772	3	684	0	Reputation
1800	179	1416	147	352	10	30220	1	636	0	Reputation
1801	179	1416	147	352	10	30423	2	111	0	Reputation
1803	179	1416	147	352	10	30907	7	779	0	Reputation
1805	179	1416	147	352	10	34407	1	56	0	Reputation
1806	179	1416	147	352	10	35761	2	49	2	Reputation
1807	179	1416	147	352	10	35819	4	426	2	Reputation
1810	183	22625	4069	2496	45	203	16	6033	2	Reputation
1814	183	22625	4069	2496	45	485	48	4470	3	Reputation
1841	183	22625	4069	2496	45	1580	12	7655	2	Reputation
1847	183	22625	4069	2496	45	1646	7	1032	3	Reputation
1865	183	22625	4069	2496	45	1942	4	319	0	Reputation
1867	183	22625	4069	2496	45	1980	53	2985	0	Reputation
1873	183	22625	4069	2496	45	2022	4	157	0	Reputation
1875	183	22625	4069	2496	45	2061	11	1054	1	Reputation
1881	183	22625	4069	2496	45	2259	3	824	0	Reputation
1889	183	22625	4069	2496	45	2432	13	1030	3	Reputation
1892	183	22625	4069	2496	45	2469	9	5812	0	Reputation
1895	183	22625	4069	2496	45	2648	6	279	3	Reputation
1899	183	22625	4069	2496	45	2777	19	2472	0	Reputation
1905	183	22625	4069	2496	45	2966	6	156	0	Reputation
1907	183	22625	4069	2496	45	3006	8	634	0	Reputation
1908	183	22625	4069	2496	45	3038	15	3712	4	Reputation
1911	183	22625	4069	2496	45	3100	3	267	4	Reputation
1912	183	22625	4069	2496	45	3180	7	225	4	Reputation
1915	183	22625	4069	2496	45	3466	23	10853	4	Reputation
1916	183	22625	4069	2496	45	3542	38	1548	9	Reputation
1918	183	22625	4069	2496	45	3730	47	49948	0	Reputation
1923	183	22625	4069	2496	45	4131	6	725	2	Reputation
1927	183	22625	4069	2496	45	4429	20	1199	2	Reputation
1928	183	22625	4069	2496	45	4466	26	672	1	Reputation
1931	183	22625	4069	2496	45	4500	6	347	0	Reputation
1932	183	22625	4069	2496	45	4501	3	440	6	Reputation
1934	183	22625	4069	2496	45	4898	7	1866	0	Reputation
1936	183	22625	4069	2496	45	5238	13	3751	2	Reputation
1938	183	22625	4069	2496	45	5249	16	470	6	Reputation
1940	183	22625	4069	2496	45	5418	39	1764	2	Reputation
1954	183	22625	4069	2496	45	7285	9	217	6	Reputation
1973	183	22625	4069	2496	45	9304	5	52	0	Reputation
1987	183	22625	4069	2496	45	9988	3	601	8	Reputation
1991	183	22625	4069	2496	45	10020	9	1271	0	Reputation
1993	183	22625	4069	2496	45	10079	32	37288	0	Reputation
1997	183	22625	4069	2496	45	10137	2	1069	0	Reputation
2003	183	22625	4069	2496	45	10884	6	10288	7	Reputation
2009	183	22625	4069	2496	45	11189	3	880	0	Reputation
2010	183	22625	4069	2496	45	11191	5	831	0	Reputation
2013	183	22625	4069	2496	45	11255	11	241	0	Reputation
2025	183	22625	4069	2496	45	11616	4	438	0	Reputation
2029	183	22625	4069	2496	45	11653	3	1859	0	Reputation
2036	183	22625	4069	2496	45	12663	4	169	1	Reputation
2041	183	22625	4069	2496	45	13146	1	202	4	Reputation
2042	183	22625	4069	2496	45	13148	19	507	7	Reputation
2062	183	22625	4069	2496	45	14067	17	437	3	Reputation
2093	183	22625	4069	2496	45	16262	7	666	0	Reputation
2099	183	22625	4069	2496	45	16454	8	507	5	Reputation
2104	183	22625	4069	2496	45	16631	16	727	0	Reputation
2106	183	22625	4069	2496	45	16646	7	767	3	Reputation
2108	183	22625	4069	2496	45	16698	2	105	0	Reputation
2130	183	22625	4069	2496	45	19729	4	4610	5	Reputation
2135	183	22625	4069	2496	45	20093	5	526	0	Reputation
2157	183	22625	4069	2496	45	30294	8	381	2	Reputation
2159	183	22625	4069	2496	45	30303	13	7307	12	Reputation
2170	183	22625	4069	2496	45	30736	4	221	0	Reputation
2171	183	22625	4069	2496	45	30790	1	1393	0	Reputation
2209	190	1166	146	482	24	212	3	430	0	Reputation
2224	190	1166	146	482	24	573	10	1043	3	Reputation
2225	190	1166	146	482	24	590	2	242	3	Reputation
2228	190	1166	146	482	24	723	7	1836	0	Reputation
2230	190	1166	146	482	24	3167	4	400	0	Reputation
2231	190	1166	146	482	24	3476	14	16090	0	Reputation
2232	190	1166	146	482	24	3695	9	3928	0	Reputation
2233	190	1166	146	482	24	15741	1	994	0	Reputation
2234	190	1166	146	482	24	15798	1	3791	1	Reputation
2239	196	6140	649	497	114	225	7	617	2	Reputation
2245	196	6140	649	497	114	305	27	2939	0	Reputation
2246	196	6140	649	497	114	362	14	25597	0	Reputation
2247	196	6140	649	497	114	575	14	6570	3	Reputation
2248	196	6140	649	497	114	577	79	22354	2	Reputation
2250	196	6140	649	497	114	608	19	1244	9	Reputation
2257	196	6140	649	497	114	1012	0	538	3	Reputation
2261	196	6140	649	497	114	1256	5	757	4	Reputation
2263	196	6140	649	497	114	1286	4	3092	7	Reputation
2264	196	6140	649	497	114	1412	3	575	1	Reputation
2265	196	6140	649	497	114	1413	2	529	1	Reputation
2266	196	6140	649	497	114	1432	26	15463	3	Reputation
2269	196	6140	649	497	114	1583	3	357	0	Reputation
2273	196	6140	649	497	114	1749	5	372	0	Reputation
2278	196	6140	649	497	114	2390	6	2551	0	Reputation
2284	196	6140	649	497	114	4052	12	1696	0	Reputation
2287	196	6140	649	497	114	4544	12	6703	2	Reputation
2295	196	6140	649	497	114	4753	5	786	0	Reputation
2299	196	6140	649	497	114	5007	29	34044	3	Reputation
2303	196	6140	649	497	114	5352	3	208	1	Reputation
2306	196	6140	649	497	114	5517	11	4417	2	Reputation
2308	196	6140	649	497	114	5912	7	1271	0	Reputation
2310	196	6140	649	497	114	6557	6	2712	1	Reputation
2311	196	6140	649	497	114	6684	2	3053	3	Reputation
2313	196	6140	649	497	114	9519	3	177	0	Reputation
2314	196	6140	649	497	114	13132	8	1019	7	Reputation
2316	196	6140	649	497	114	13197	17	8410	4	Reputation
2319	196	6140	649	497	114	13411	2	63	0	Reputation
2321	196	6140	649	497	114	14323	4	879	0	Reputation
2323	196	6140	649	497	114	15771	7	298	2	Reputation
2324	196	6140	649	497	114	22832	8	174	9	Reputation
2330	196	6140	649	497	114	25745	0	291	3	Reputation
2336	196	6140	649	497	114	47736	0	146	12	Reputation
2362	199	1815	188	149	3	242	12	470	5	Reputation
2364	199	1815	188	149	3	481	7	885	0	Reputation
2366	199	1815	188	149	3	1637	20	6142	1	Reputation
2368	199	1815	188	149	3	2385	6	283	3	Reputation
2369	199	1815	188	149	3	3841	10	131	1	Reputation
2370	199	1815	188	149	3	4383	8	1216	3	Reputation
2372	199	1815	188	149	3	4713	17	4854	0	Reputation
2374	199	1815	188	149	3	5079	5	926	0	Reputation
2375	199	1815	188	149	3	5344	40	16006	0	Reputation
2381	199	1815	188	149	3	7679	6	939	0	Reputation
2382	199	1815	188	149	3	7788	4	166	1	Reputation
2383	199	1815	188	149	3	7791	8	190	6	Reputation
2384	199	1815	188	149	3	11659	62	1865	3	Reputation
2386	199	1815	188	149	3	16390	25	12366	2	Reputation
2388	199	1815	188	149	3	17845	1	47	1	Reputation
2394	199	1815	188	149	3	25415	6	2519	11	Reputation
2398	199	1815	188	149	3	45664	0	219	5	Reputation
2427	215	2496	384	5	0	277	12	3033	0	Reputation
2429	215	2496	384	5	0	283	22	13685	0	Reputation
2445	215	2496	384	5	0	452	9	9951	4	Reputation
2447	215	2496	384	5	0	507	12	3303	1	Reputation
2455	215	2496	384	5	0	563	8	1855	5	Reputation
2456	215	2496	384	5	0	564	5	1498	2	Reputation
2504	223	4022	1471	345	19	480	14	1711	0	Reputation
2505	223	4022	1471	345	19	490	16	2262	2	Reputation
2511	223	4022	1471	345	19	725	5	644	0	Reputation
2512	223	4022	1471	345	19	726	124	34780	1	Reputation
2517	223	4022	1471	345	19	812	6	942	1	Reputation
2518	223	4022	1471	345	19	880	6	392	2	Reputation
2521	223	4022	1471	345	19	973	16	4214	2	Reputation
2542	223	4022	1471	345	19	4364	26	2469	0	Reputation
2559	223	4022	1471	345	19	6838	12	296	2	Reputation
2562	223	4022	1471	345	19	7103	6	177	4	Reputation
2564	223	4022	1471	345	19	7251	5	390	0	Reputation
2577	223	4022	1471	345	19	11519	3	103	4	Reputation
2592	223	4022	1471	345	19	31892	9	160	0	Reputation
2600	226	1293	266	55	0	2794	4	1603	0	Reputation
2602	226	1293	266	55	0	3316	11	834	0	Reputation
2604	226	1293	266	55	0	4034	12	1099	0	Reputation
2605	226	1293	266	55	0	4220	44	7814	3	Reputation
2606	226	1293	266	55	0	4298	5	1463	0	Reputation
2607	226	1293	266	55	0	4606	3	236	2	Reputation
2612	226	1293	266	55	0	9610	3	1608	4	Reputation
2613	226	1293	266	55	0	10062	6	1070	0	Reputation
2616	226	1293	266	55	0	10851	2	94	0	Reputation
2621	226	1293	266	55	0	21687	1	239	0	Reputation
2625	226	1293	266	55	0	30474	2	310	10	Reputation
2627	226	1293	266	55	0	35776	3	1427	2	Reputation
2630	226	1293	266	55	0	36021	0	169	0	Reputation
2631	226	1293	266	55	0	37967	1	80	0	Reputation
2632	226	1293	266	55	0	38225	1	492	3	Reputation
2653	230	1233	106	170	2	6308	17	1870	1	Reputation
2654	230	1233	106	170	2	9688	1	106	1	Reputation
2655	230	1233	106	170	2	9699	18	9910	7	Reputation
2656	230	1233	106	170	2	10343	4	1048	0	Reputation
2658	230	1233	106	170	2	10977	4	284	2	Reputation
2659	230	1233	106	170	2	13797	14	2336	8	Reputation
2660	230	1233	106	170	2	16556	3	389	4	Reputation
2662	230	1233	106	170	2	19384	4	1336	0	Reputation
2663	230	1233	106	170	2	26512	4	979	1	Reputation
2665	230	1233	106	170	2	31513	17	2171	5	Reputation
2666	230	1233	106	170	2	33304	3	1521	7	Reputation
2669	230	1233	106	170	2	45481	3	119	1	Reputation
2716	251	7931	984	819	0	570	12	753	2	Reputation
2846	253	5309	1147	1160	5	1160	1	387	6	Reputation
2849	253	5309	1147	1160	5	1266	10	7210	3	Reputation
2853	253	5309	1147	1160	5	1455	7	2435	0	Reputation
2854	253	5309	1147	1160	5	1761	22	2240	0	Reputation
2855	253	5309	1147	1160	5	1787	5	1196	2	Reputation
2856	253	5309	1147	1160	5	1866	11	1702	0	Reputation
2858	253	5309	1147	1160	5	1870	3	441	0	Reputation
2860	253	5309	1147	1160	5	1961	3	1265	3	Reputation
2862	253	5309	1147	1160	5	2008	3	191	2	Reputation
2867	253	5309	1147	1160	5	2234	34	4337	4	Reputation
2868	253	5309	1147	1160	5	2282	0	130	10	Reputation
2869	253	5309	1147	1160	5	2410	8	541	0	Reputation
2871	253	5309	1147	1160	5	2728	4	1259	0	Reputation
2873	253	5309	1147	1160	5	2844	6	2101	2	Reputation
2877	253	5309	1147	1160	5	3101	6	449	3	Reputation
2878	253	5309	1147	1160	5	3165	1	1185	4	Reputation
2883	253	5309	1147	1160	5	3262	23	2923	0	Reputation
2884	253	5309	1147	1160	5	3309	3	272	0	Reputation
2885	253	5309	1147	1160	5	3425	17	5446	3	Reputation
2888	253	5309	1147	1160	5	3458	16	1518	1	Reputation
2889	253	5309	1147	1160	5	3820	6	2090	10	Reputation
2891	253	5309	1147	1160	5	3931	28	8386	2	Reputation
2892	253	5309	1147	1160	5	3943	23	19094	0	Reputation
2894	253	5309	1147	1160	5	4013	8	1462	1	Reputation
2896	253	5309	1147	1160	5	4062	9	3567	4	Reputation
2897	253	5309	1147	1160	5	4165	9	2030	1	Reputation
2898	253	5309	1147	1160	5	4214	4	283	3	Reputation
2899	253	5309	1147	1160	5	4335	27	1084	2	Reputation
2903	253	5309	1147	1160	5	4667	5	161	5	Reputation
2905	253	5309	1147	1160	5	4812	10	2033	3	Reputation
2906	253	5309	1147	1160	5	4817	5	481	0	Reputation
2907	253	5309	1147	1160	5	4818	7	1467	0	Reputation
2908	253	5309	1147	1160	5	4834	4	728	4	Reputation
2911	253	5309	1147	1160	5	5278	41	3963	3	Reputation
2913	253	5309	1147	1160	5	5443	3	544	2	Reputation
2914	253	5309	1147	1160	5	5617	9	15051	3	Reputation
2915	253	5309	1147	1160	5	5691	3	1094	5	Reputation
2918	253	5309	1147	1160	5	5937	19	6896	2	Reputation
2919	253	5309	1147	1160	5	6042	3	620	4	Reputation
2920	253	5309	1147	1160	5	6081	5	2646	0	Reputation
2921	253	5309	1147	1160	5	6268	8	460	2	Reputation
2922	253	5309	1147	1160	5	6375	12	454	2	Reputation
2923	253	5309	1147	1160	5	6478	8	3627	2	Reputation
2925	253	5309	1147	1160	5	6581	13	10961	0	Reputation
2926	253	5309	1147	1160	5	6912	8	1626	0	Reputation
2928	253	5309	1147	1160	5	7048	14	769	1	Reputation
2929	253	5309	1147	1160	5	7132	4	1429	0	Reputation
2930	253	5309	1147	1160	5	7172	2	144	5	Reputation
2931	253	5309	1147	1160	5	8420	3	123	1	Reputation
2932	253	5309	1147	1160	5	8442	3	159	0	Reputation
2933	253	5309	1147	1160	5	8677	5	487	0	Reputation
2934	253	5309	1147	1160	5	9131	9	1442	6	Reputation
2935	253	5309	1147	1160	5	10051	2	201	2	Reputation
2938	253	5309	1147	1160	5	10871	7	249	6	Reputation
2939	253	5309	1147	1160	5	10874	7	278	7	Reputation
2940	253	5309	1147	1160	5	11246	3	155	2	Reputation
2941	253	5309	1147	1160	5	11266	11	642	0	Reputation
2946	253	5309	1147	1160	5	12029	9	1321	2	Reputation
2948	253	5309	1147	1160	5	12046	3	831	0	Reputation
2949	253	5309	1147	1160	5	12081	6	605	3	Reputation
2951	253	5309	1147	1160	5	13159	5	823	1	Reputation
2952	253	5309	1147	1160	5	13211	5	379	0	Reputation
2953	253	5309	1147	1160	5	13427	6	421	2	Reputation
2954	253	5309	1147	1160	5	13721	3	285	3	Reputation
2955	253	5309	1147	1160	5	13817	3	1542	2	Reputation
2956	253	5309	1147	1160	5	13873	5	261	1	Reputation
2957	253	5309	1147	1160	5	13932	6	1072	1	Reputation
2958	253	5309	1147	1160	5	15456	2	23434	0	Reputation
2960	253	5309	1147	1160	5	15744	6	1506	5	Reputation
2961	253	5309	1147	1160	5	15840	5	682	5	Reputation
2963	253	5309	1147	1160	5	16219	3	634	0	Reputation
2965	253	5309	1147	1160	5	18323	1	289	12	Reputation
2966	253	5309	1147	1160	5	19195	9	940	0	Reputation
2967	253	5309	1147	1160	5	19227	6	724	1	Reputation
2968	253	5309	1147	1160	5	19291	14	870	0	Reputation
2969	253	5309	1147	1160	5	19319	9	1828	2	Reputation
2971	253	5309	1147	1160	5	19412	6	172	0	Reputation
2972	253	5309	1147	1160	5	19425	7	358	0	Reputation
2973	253	5309	1147	1160	5	19524	3	877	1	Reputation
2974	253	5309	1147	1160	5	19675	3	1816	2	Reputation
2975	253	5309	1147	1160	5	19681	15	8366	3	Reputation
2976	253	5309	1147	1160	5	20032	13	1839	0	Reputation
2979	253	5309	1147	1160	5	20227	6	1217	1	Reputation
2980	253	5309	1147	1160	5	20243	5	510	4	Reputation
2983	253	5309	1147	1160	5	22059	6	250	3	Reputation
2984	253	5309	1147	1160	5	23658	3	309	3	Reputation
2986	253	5309	1147	1160	5	27199	5	3781	2	Reputation
2988	253	5309	1147	1160	5	29271	15	6025	0	Reputation
2989	253	5309	1147	1160	5	29272	2	93	0	Reputation
2990	253	5309	1147	1160	5	31284	11	845	1	Reputation
2991	253	5309	1147	1160	5	32292	8	200	4	Reputation
2993	253	5309	1147	1160	5	32472	2	395	0	Reputation
2994	253	5309	1147	1160	5	33063	3	261	0	Reputation
2995	253	5309	1147	1160	5	34325	10	1525	4	Reputation
2998	253	5309	1147	1160	5	35711	25	3332	4	Reputation
3001	253	5309	1147	1160	5	41419	6	265	0	Reputation
3003	253	5309	1147	1160	5	41851	10	178	4	Reputation
3004	253	5309	1147	1160	5	46847	5	225	3	Reputation
3005	253	5309	1147	1160	5	47987	1	1046	0	Reputation
3030	264	4701	839	1408	55	3193	6	170	0	Reputation
3031	264	4701	839	1408	55	4065	7	238	2	Reputation
3038	264	4701	839	1408	55	4884	2	448	2	Reputation
3042	264	4701	839	1408	55	5081	1	1345	1	Reputation
3050	264	4701	839	1408	55	6753	5	1290	9	Reputation
3067	264	4701	839	1408	55	9735	4	663	6	Reputation
3074	264	4701	839	1408	55	10856	6	1816	4	Reputation
3079	264	4701	839	1408	55	13089	3	384	0	Reputation
3086	264	4701	839	1408	55	17846	5	526	11	Reputation
3097	264	4701	839	1408	55	22504	12	788	0	Reputation
3112	264	4701	839	1408	55	29386	3	178	5	Reputation
3128	266	1272	335	108	1	486	17	23985	4	Reputation
3133	266	1272	335	108	1	548	5	571	0	Reputation
3136	266	1272	335	108	1	2513	6	1430	3	Reputation
3141	266	1272	335	108	1	5926	9	4810	3	Reputation
3143	266	1272	335	108	1	10975	11	6654	3	Reputation
3146	266	1272	335	108	1	11898	3	391	0	Reputation
3163	273	1384	87	17	0	1274	6	579	3	Reputation
3164	273	1384	87	17	0	1883	5	962	10	Reputation
3439	319	1994	523	62	0	927	17	778	0	Reputation
3459	319	1994	523	62	0	6518	15	287	0	Reputation
3460	319	1994	523	62	0	7029	21	966	5	Reputation
3462	319	1994	523	62	0	9695	18	574	1	Reputation
3467	333	1233	104	75	4	672	21	5405	2	Reputation
3468	333	1233	104	75	4	3892	9	869	0	Reputation
3469	333	1233	104	75	4	4368	1	1403	0	Reputation
3470	333	1233	104	75	4	7070	10	8585	0	Reputation
3471	333	1233	104	75	4	7074	2	1178	4	Reputation
3472	333	1233	104	75	4	9003	3	401	2	Reputation
3473	333	1233	104	75	4	9307	1	177	1	Reputation
3474	333	1233	104	75	4	9358	12	5656	0	Reputation
3475	333	1233	104	75	4	9744	4	286	0	Reputation
3476	333	1233	104	75	4	9745	2	662	0	Reputation
3477	333	1233	104	75	4	9951	3	888	2	Reputation
3478	333	1233	104	75	4	10700	1	1610	2	Reputation
3479	333	1233	104	75	4	11033	6	2128	0	Reputation
3480	333	1233	104	75	4	11064	16	2765	0	Reputation
3481	333	1233	104	75	4	11109	28	8108	1	Reputation
3482	333	1233	104	75	4	11500	6	233	0	Reputation
3483	333	1233	104	75	4	11724	2	5821	2	Reputation
3485	333	1233	104	75	4	11924	4	4937	0	Reputation
3486	333	1233	104	75	4	11936	2	134	0	Reputation
3487	333	1233	104	75	4	11950	6	1454	1	Reputation
3488	333	1233	104	75	4	11985	4	1251	0	Reputation
3489	333	1233	104	75	4	12443	4	132	4	Reputation
3490	333	1233	104	75	4	12525	15	5250	0	Reputation
3491	333	1233	104	75	4	12549	1	592	2	Reputation
3492	333	1233	104	75	4	12606	2	168	2	Reputation
3493	333	1233	104	75	4	12623	1	1257	0	Reputation
3494	333	1233	104	75	4	12683	1	121	6	Reputation
3496	333	1233	104	75	4	12706	1	900	13	Reputation
3497	333	1233	104	75	4	12779	1	256	4	Reputation
3498	333	1233	104	75	4	12816	0	216	7	Reputation
3499	333	1233	104	75	4	12857	10	2000	0	Reputation
3500	333	1233	104	75	4	12890	1	247	0	Reputation
3501	333	1233	104	75	4	13267	4	1374	0	Reputation
3502	333	1233	104	75	4	14158	5	1931	0	Reputation
3503	333	1233	104	75	4	14168	1	125	3	Reputation
3504	333	1233	104	75	4	14175	8	688	0	Reputation
3505	333	1233	104	75	4	14294	1	149	2	Reputation
3506	333	1233	104	75	4	14360	3	1276	3	Reputation
3507	333	1233	104	75	4	17271	0	88	5	Reputation
3508	333	1233	104	75	4	17391	7	8341	2	Reputation
